============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.51 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  211  1 .6079615E+07   1513000E+01 -.8261E+05 -.2438E+06   .9995224  .0304781  .0051141
T  212  1 .5962808E+07   1513000E+01 -.1527E+07  .2310E+07   .9604563 -.1431325  .2388236
T  213  1 .6205611E+07   1513000E+01 -.2024E+06  .5013E+06   .9984988 -.0327285  .0439192
T  214  1 .5724388E+07   1513000E+01 -.1069E+07 -.2747E+06   .9709268 -.2305088 -.0645512
T  215  1 .6206463E+07   1513000E+01  .5302E+05 -.1525E+06   .9996438 -.0028322 -.0265394
T  216  1 .6134270E+07   1513000E+01 -.6681E+05  .1454E+06   .9997676  .0199480  .0081705
T  217  1 .5950786E+07   1513000E+01  .1747E+06  .7339E+06   .9932013  .0531880  .1035484
T  218  1 .7206707E+07   1513000E+01 -.5240E+06 -.2177E+06   .9963130 -.0772920 -.0372341
T  219  1 .6937586E+07   1513000E+01  .6581E+05 -.8423E+05   .9998480 -.0073464  .0158112
T  220  1 .5929447E+07   1513000E+01 -.1355E+06  .2489E+06   .9990660 -.0041344  .0430113
T  221  1 .5732397E+07   1513000E+01 -.5243E+05 -.4194E+05   .9996788  .0162029 -.0194869
T  222  1 .5948807E+07   1513000E+01  .4522E+06  .4117E+06   .9950702  .0736293  .0664378
T  223  1 .6478333E+07   1513000E+01  .1313E+06  .5184E+06   .9991975  .0114333  .0383885
T  224  1 .5749065E+07   1513000E+01  .3376E+06 -.3240E+06   .9986761  .0471774  .0205044
T  225  1 .6496008E+07   1513000E+01 -.5678E+04  .4051E+06   .9971722  .0168294  .0732417
T  226  1 .5929955E+07   1513000E+01 -.1437E+06  .3722E+05   .9992289 -.0290326  .0264321
T  227  1 .5919811E+07   1513000E+01 -.1907E+06  .9984E+05   .9999918  .0010449  .0039103
T  228  1 .6818412E+07   1513000E+01 -.5171E+05  .2832E+06   .9992972 -.0259276  .0270705
T  229  1 .6512725E+07   1513000E+01 -.7203E+05  .9471E+05   .9980121  .0622314  .0099588
T  230  1 .6162571E+07   1513000E+01 -.1459E+06  .1525E+06   .9895419  .0910992  .1118384
T  231  1 .6505553E+07   1513000E+01 -.1867E+06  .2367E+06   .9994685 -.0065531  .0319342
