============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.48 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  188  1 .6603401E+07   1488000E+01  .1228E+06 -.5828E+05   .9999805 -.0062208 -.0005592
T  189  1 .6459795E+07   1488000E+01 -.3597E+05  .5471E+06   .9997202 -.0056955  .0229604
T  190  1 .6526718E+07   1488000E+01  .3458E+06 -.3342E+06   .9976771  .0680530  .0030275
T  191  1 .5925558E+07   1488000E+01  .3157E+06  .1905E+06   .9980038  .0493261  .0394384
T  192  1 .5912618E+07   1488000E+01 -.4951E+06  .6318E+06   .9961916 -.0695527  .0525807
T  193  1 .6421724E+07   1488000E+01  .8210E+05 -.3099E+06   .9982145  .0450160 -.0392603
T  194  1 .6579361E+07   1488000E+01 -.2469E+06 -.1010E+06   .9997103 -.0189308 -.0148642
T  195  1 .6579585E+07   1488000E+01  .3491E+06  .1100E+06   .9979687  .0618994  .0150639
T  196  1 .6318603E+07   1488000E+01 -.1598E+06  .6476E+06   .9991843  .0290962  .0280016
T  197  1 .6567974E+07   1488000E+01 -.5978E+06  .1439E+06   .9996328 -.0206846 -.0175048
T  198  1 .6286226E+07   1488000E+01 -.8834E+06 -.5965E+05   .9910957 -.1265089 -.0415300
T  199  1 .6714627E+07   1488000E+01  .1431E+06  .1047E+06   .9966588  .0771756  .0267414
T  200  1 .6232621E+07   1488000E+01  .8034E+05  .1522E+06   .9998424  .0170512 -.0049342
T  201  1 .6174564E+07   1488000E+01  .4335E+06  .6982E+05   .9939613  .1093682 -.0089158
T  202  1 .6558437E+07   1488000E+01 -.8956E+05 -.5235E+05   .9999392 -.0020829  .0108294
T  203  1 .6223107E+07   1488000E+01  .2158E+06 -.1753E+06   .9978471  .0552851 -.0352806
T  204  1 .7014030E+07   1488000E+01 -.3463E+06  .6528E+05   .9979823 -.0317873  .0549618
T  205  1 .6279230E+07   1488000E+01 -.3069E+06  .2961E+06   .9985648  .0182213  .0503628
T  206  1 .6794664E+07   1488000E+01 -.5065E+04 -.6740E+05   .9957190  .0911248 -.0154904
T  207  1 .6101367E+07   1488000E+01  .4556E+06 -.3767E+06   .9988007  .0465521 -.0151679
T  208  1 .6649005E+07   1488000E+01 -.2560E+06  .2819E+06   .9994729 -.0099758  .0308928
T  209  1 .6098633E+07   1488000E+01  .6652E+06 -.9409E+05   .9938136  .0896605 -.0655396
T  210  1 .6426491E+07   1488000E+01  .6442E+06  .6347E+05   .9986759  .0358859  .0368588
T  211  1 .6625579E+07   1488000E+01 -.3799E+06  .2489E+06   .9950605 -.0802941  .0583737
T  212  1 .5861811E+07   1488000E+01 -.7021E+05  .3402E+06   .9998808 -.0145611  .0051287
T  213  1 .6316389E+07   1488000E+01 -.7519E+06  .4735E+06   .9957145 -.0638205  .0669303
T  214  1 .6330966E+07   1488000E+01  .4116E+05  .5016E+06   .9978613  .0353307  .0549962
T  215  1 .6510188E+07   1488000E+01  .3240E+06 -.1393E+06   .9992084  .0395354  .0044230
T  216  1 .6780223E+07   1488000E+01 -.2288E+05 -.2828E+06   .9992606  .0259274 -.0283911
T  217  1 .6314560E+07   1488000E+01  .1987E+03 -.1082E+06   .9998117  .0180956 -.0070082
T  218  1 .6334700E+07   1488000E+01 -.2228E+07 -.1462E+07   .9548673 -.2467962 -.1652878
T  219  1 .6213501E+07   1488000E+01 -.5013E+06  .3024E+06   .9991017 -.0413255  .0093761
T  220  1 .6678192E+07   1488000E+01 -.1520E+06  .1516E+06   .9997071 -.0153280  .0187283
T  221  1 .6274217E+07   1488000E+01  .2716E+05 -.1079E+06   .9994851 -.0319219 -.0032474
T  222  1 .6038775E+07   1488000E+01  .5714E+06  .5393E+05   .9977011  .0673699 -.0073413
T  223  1 .6992386E+07   1488000E+01  .8145E+04 -.7267E+06   .9966512  .0411608 -.0706555
T  224  1 .6112599E+07   1488000E+01  .3020E+06 -.1219E+06   .9984969  .0513840  .0190697
T  225  1 .6984688E+07   1488000E+01 -.4373E+06  .1620E+06   .9995827 -.0254010 -.0137555
T  226  1 .6553805E+07   1488000E+01  .6053E+05  .3722E+06   .9990418 -.0051822  .0434579
T  227  1 .6316333E+07   1488000E+01  .1227E+06  .2890E+06   .9993634  .0016274  .0356400
T  228  1 .5997076E+07   1488000E+01 -.5636E+06  .7833E+05   .9942761 -.1066908  .0056584
T  229  1 .6088189E+07   1488000E+01 -.3157E+06  .1130E+07   .9878501  .0287375  .1527298
T  230  1 .5999921E+07   1488000E+01 -.1499E+06 -.1377E+05   .9986057 -.0159131  .0503336
T  231  1 .6082072E+07   1488000E+01 -.2888E+06  .1604E+06   .9998615 -.0007501  .0166241
